Winning_percentage,Days_Since_Last_Bet,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Average_Bet_Amount,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_Bets_After_Bonus,Increase_in_wagering_after_Bonus,Should_Receive_Bonus
43,35.0,365.0,20.0,34454.0,244.0,40.0,996.0,4964.0,159.0,49938.0,1
73,29.0,184.0,44.0,72327.0,707.0,76.0,735.0,3885.0,257.0,40259.0,1
20,33.0,184.0,39.0,80154.0,831.0,92.0,555.0,3070.0,321.0,29574.0,0
56,36.0,322.0,30.0,73397.0,904.0,88.0,462.0,2478.0,353.0,32232.0,0
7,40.0,322.0,21.0,25629.0,223.0,51.0,984.0,4940.0,164.0,49385.0,1
68,4.0,235.0,30.0,61753.0,982.0,89.0,338.0,1774.0,394.0,31410.0,0
40,30.0,213.0,46.0,60860.0,632.0,67.0,822.0,4267.0,225.0,45095.0,1
24,25.0,285.0,47.0,58883.0,532.0,59.0,905.0,4656.0,194.0,47825.0,1
9,16.0,155.0,40.0,88930.0,692.0,92.0,711.0,3967.0,266.0,29270.0,0
33,27.0,119.0,31.0,95659.0,633.0,96.0,753.0,4268.0,250.0,26044.0,0
26,27.0,177.0,44.0,72986.0,677.0,75.0,768.0,4049.0,245.0,41293.0,0
17,1.0,249.0,23.0,22085.0,263.0,61.0,974.0,4982.0,167.0,46986.0,1
77,6.0,343.0,21.0,32735.0,312.0,48.0,990.0,5000.0,161.0,49704.0,1
55,34.0,329.0,31.0,82312.0,853.0,93.0,520.0,2899.0,333.0,28139.0,1
65,19.0,155.0,41.0,86891.0,666.0,87.0,747.0,4104.0,252.0,32940.0,1
78,5.0,264.0,32.0,67660.0,990.0,92.0,316.0,1690.0,402.0,29136.0,0
7,19.0,256.0,49.0,42851.0,258.0,41.0,996.0,4977.0,159.0,49993.0,1
27,2.0,112.0,6.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
63,32.0,300.0,39.0,81865.0,802.0,91.0,592.0,3280.0,308.0,29819.0,1
31,2.0,329.0,16.0,100.0,10.0,1.0,10.0,10.0,500.0,100.0,1
25,30.0,343.0,33.0,92824.0,709.0,98.0,678.0,3871.0,277.0,24441.0,0
58,40.0,213.0,29.0,57861.0,951.0,87.0,396.0,2067.0,375.0,33610.0,0
36,39.0,199.0,30.0,64069.0,973.0,89.0,353.0,1856.0,390.0,31579.0,0
76,2.0,97.0,1.0,100.0,10.0,1.0,10.0,10.0,30.0,100.0,1
34,3.0,307.0,22.0,27675.0,321.0,57.0,979.0,5000.0,165.0,48243.0,1
22,37.0,177.0,32.0,73413.0,951.0,93.0,380.0,2068.0,381.0,28883.0,0
18,9.0,97.0,16.0,1089.0,10.0,1.0,10.0,10.0,500.0,17922.0,1
37,36.0,220.0,38.0,74768.0,924.0,93.0,419.0,2310.0,368.0,28130.0,0
53,16.0,358.0,31.0,94088.0,652.0,94.0,741.0,4175.0,254.0,27280.0,1
